af,asn_v4,asn_v6,country_code,dist,dst_addr,dst_lat,dst_lon,from,fw,group_id,lts,msm_id,msm_name,prb_id,proto,rt,src_addr,src_lat,src_lon,timestamp,type
4,16395,16395,CA,7.37362275398092,199.4.144.2,49.910036,-97.239886,198.181.199.250,4680,1911041,158,1911041,Tdig,12383,UDP,1.345,198.181.199.250,49.8985,-97.1385,1427540571,dns
4,852,,CA,1752.7880540597287,199.4.144.2,33.942536,-118.408075,108.172.130.109,4680,1911041,168,1911041,Tdig,15072,UDP,38.009,192.168.99.20,49.3285,-123.0395,1427540571,dns
4,5645,,CA,10.085490022611609,199.4.144.2,45.470556,-73.740833,76.10.176.53,4680,1911041,51,1911041,Tdig,16837,UDP,20.335,10.143.128.18,45.4705,-73.6115,1427540570,dns
4,8111,8111,CA,2575.8251685335354,199.4.144.2,25.79325,-80.290556,198.166.7.10,4680,1911041,155,1911041,Tdig,17620,UDP,57.288,198.166.7.10,44.6375,-63.5915,1427540579,dns
4,6327,,CA,1664.9662780580934,199.4.144.2,33.942536,-118.408075,24.68.126.210,4680,1911041,51,1911041,Tdig,19894,UDP,41.005,24.68.126.210,48.4495,-123.3785,1427540570,dns
4,6327,,CA,2140.9914287338634,199.4.144.2,33.942536,-118.408075,64.180.68.70,4680,1911041,22,1911041,Tdig,20069,UDP,65.681,10.128.0.1,52.9815,-122.4295,1427540567,dns
4,5645,,CA,494.23136079132604,199.4.144.2,45.470556,-73.740833,173.230.160.88,4680,1911041,145,1911041,Tdig,20712,UDP,18.099,192.168.0.104,43.6485,-79.4325,1427540570,dns
4,13657,,CA,1987.0713856024647,199.4.144.2,25.79325,-80.290556,216.235.11.118,4680,1911041,159,1911041,Tdig,20841,UDP,54.908,172.16.1.102,43.6475,-79.3805,1427540573,dns
4,812,,CA,25.39377783542138,199.4.144.2,43.677223,-79.630556,99.237.149.219,4680,1911041,168,1911041,Tdig,3566,UDP,33.818,192.168.0.10,43.8405,-79.4095,1427540576,dns
4,6327,,CA,1933.0729245899054,199.4.144.2,33.942536,-118.408075,184.64.26.246,4680,1911041,132,1911041,Tdig,4326,UDP,66.541,10.0.1.107,51.0405,-114.0915,1427540573,dns
